BATfinal,VpFinal,KtransFinal,Kepfinal,VeFinal,RSSFinal,RSS0,RSS1,RSS2,RSS3,F1v0,F2v1,F3v2,BAT1,Vp1,BAT2,Vp2,Ktrans2,BAT3,Vp3,Ktrans3,Kep3,Ve3,WhichModel,TProb1,TProb2,TProb3,TProbFinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.97118,0.0046999,0.0010915,0.13832,0.007891,3.8194e-07,6.0441e-05,3.1524e-06,1.1559e-06,3.8194e-07,1,1,1,10,0.0070054,10,0.0059183,0.0003799,12,0.0046999,0.0010915,0.13832,0.007891,4,0.84793,0.84146,0.9879,0.9879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9424,0.0030948,0.001204,0.19218,0.0062648,2.3296e-07,3.6435e-05,2.7772e-06,1.226e-06,2.3296e-07,1,1,1,10,0.0053697,10,0.0044113,0.00033487,10,0.0030948,0.001204,0.19218,0.0062648,4,0.86422,0.79841,0.81788,0.81788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9424,0.003408,0.0017083,0.19733,0.0086572,1.5861e-07,5.6735e-05,5.3653e-06,2.0265e-06,1.5861e-07,1,1,1,10,0.0066337,10,0.0052278,0.00049129,10,0.003408,0.0017083,0.19733,0.0086572,4,0.914,0.86576,0.58363,0.58363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.428,0.0017975,0.0012095,0.16104,0.0075107,1.1719e-07,2.458e-05,3.0499e-06,9.7829e-07,1.1719e-07,1,1,1,10,0.0042947,10,0.0031872,0.00038698,19,0.0017975,0.0012095,0.16104,0.0075107,4,0.91206,0.86208,0.98479,0.98479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4568,0.0014268,0.00065155,0.11923,0.0054645,9.4318e-08,1.069e-05,1.3089e-06,3.8471e-07,9.4318e-08,1,1,1,10,0.0028348,10,0.0020951,0.00025847,11,0.0014268,0.00065155,0.11923,0.0054645,4,0.90243,0.87994,0.97506,0.97506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4568,0.0013893,0.0013094,0.23868,0.005486,1.4392e-07,1.8548e-05,2.5132e-06,1.1702e-06,1.4392e-07,1,1,1,10,0.0037063,10,0.0028146,0.00031159,11,0.0013893,0.0013094,0.23868,0.005486,4,0.92534,0.90324,0.95342,0.95342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9424,0.0018094,0.0018305,0.1924,0.009514,2.4278e-07,3.8873e-05,6.3893e-06,2.5011e-06,2.4278e-07,1,1,1,10,0.0052751,10,0.003758,0.00053017,10,0.0018094,0.0018305,0.1924,0.009514,4,0.95519,0.94368,0.93338,0.93338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.097118,0.19424,0.29136,0.38847,0.48559,0.58271,0.67983,0.77695,0.87407,0.97118,1.0683,1.1654,1.2625,1.3597,1.4568,1.5539,1.651,1.7481,1.8452,1.9424,2.0395,2.1366,2.2337,2.3308,2.428,2.5251,2.6222,2.7193,2.8164,2.9136,3.0107,3.1078,3.2049,3.302,3.3991,3.4963,3.5934,3.6905,3.7876,3.8847,3.9819,4.079,4.1761,4.2732,4.3703,4.4674,4.5646,4.6617,4.7588,4.8559,4.953,5.0502,5.1473,5.2444,5.3415,5.4386,5.5357,5.6329,5.73,14.1333,18.2167,25.3167
-2.0517e-05,1.255e-05,0.0001161,-2.9499e-05,1.5566e-05,-9.1942e-05,-6.5272e-05,0.00030711,0.001224,0.00086724,0.00081805,0.000892,0.00094899,0.0010138,0.0010977,0.0010611,0.0010757,0.00099573,0.0010574,0.0011235,0.001021,0.0010029,0.0010319,0.00094899,0.00099573,0.00096692,0.0010465,0.001083,0.0010392,0.0010538,0.001094,0.0011754,0.0010428,0.00094184,0.00098851,0.0010174,0.0010428,0.0010102,0.0010684,0.0010867,0.0011161,0.0010904,0.0011457,0.0011014,0.00099212,0.00097771,0.0010684,0.0010794,0.0010574,0.0010066,0.0010977,0.0010757,0.001142,0.0010428,0.0010804,0.0010977,0.0010392,0.0010501,0.0010519,0.0010538,0.0013224,0.0010066,0.000892
